NON_CORRELATED,CORRELATED95,COLUMNS_WITH_NAN
MJONLYFLAG,IRSTMNMYFU,
MJONLYYR,IRSTMNMAGE,
MJONLYMON,IISTMNMAGE,
ILLEMFLAG,IRSEDNMAGE,
ILLEMYR,IISEDNMAGE,
ILLEMMON,CIGFLAG,
DCIGMON,CIGMON,
CDCGMO,CGRFLAG,
CDNOCGMO,CGRMON,
BNGDRKMON,PIPFLAG,
HVYDRKMON,SMKLSSFLAG,
ILTOBALCFG,SMKLSSMON,
ILTOBALCYR,TOBCIGONL,
ILTOBALCMN,NICVAPFLAG,
ILLALCMON,NICVAPMON,
TOBALCFLG,ALCFLAG,
TOBALCYR,ALCYR,
TOBALCMN,ALCMON,
ILLANDALC,CBDHMPFLAG,
ILLORALC,MRJFLAG,
RXBZOSMIS,MRJYR,
ALCYDAYS,MRJMON,
MRJYDAYS,MRJMONVAP2,
HERYDAYS,COCFLAG,
METHNDAYYR,COCYR,
CIGMDAYS,COCMON,
SMKLSMDAYS,CRKFLAG,
NICVPMDAYS,CRKYR,
ALCMDAYS,CRKMON,
MRJMDAYS,HERFLAG,
CRKMDAYS,HERYR,
HERMDAYS,HERMON,
METHNDAYPM,HALLUCFLAG,
FUCIG18,HALLUCYR,
FUCIG21,HALLUCMON,
FUCD218,LSDFLAG,
FUCD221,PCPFLAG,
FUCGR18,ECSTMOFLAG,
FUCGR21,DAMTFXFLAG,
FUSMKLSS18,KETMINFLAG,
FUSMKLSS21,SALVIAFLAG,
FUNICVAP18,INHALFLAG,
FUNICVAP21,INHALYR,
FUALC18,INHALMON,
FUALC21,METHAMFLAG,
FUMJ18,METHAMYR,
FUMJ21,METHAMMON,
FUCOC18,PNRANYFLAG,
FUCOC21,OXYCNANYYR,
FUCRK18,TRQANYFLAG,
FUCRK21,STMANYFLAG,
FUHER18,SEDANYFLAG,
FUHER21,OPIANYYR,
FUHALLUC18,PNRNMFLAG,
FUHALLUC21,PNRNMYR,
FULSD18,PNRNMMON,
FULSD21,OXYCNNMYR,
FUPCP18,TRQNMFLAG,
FUPCP21,TRQNMYR,
FUECSTMO18,TRQNMMON,
FUECSTMO21,STMNMFLAG,
FUINHAL18,STMNMYR,
FUINHAL21,STMNMMON,
FUMETHAM18,SEDNMFLAG,
FUMETHAM21,SEDNMYR,
FUPNRNM18,SEDNMMON,
FUPNRNM21,OPINMYR,
FUTRQNM18,HERPNRYR,
FUTRQNM21,ILLMON,
FUSTMNM18,CDUFLAG,
FUSTMNM21,ILTOBVAPALC,
FUSEDNM18,ILLALCFLG,
FUSEDNM21,COCYDAYS,
COLDMEDS,CRKYDAYS,
COLDREC,HALLNDAYYR,
COLDYR1,INHNDAYYR,
COLDYR2,CGRMDAYS,
COLDYR3,COCMDAYS,
COLDYR4,HALLNDAYPM,
COLDYR5,INHNDAYPM,
OTCFLAG,PNRNDAYPM,
GHB,TRQNDAYPM,
GHBREC,STMNDAYPM,
CONDLREC,SEDNDAYPM,
HRSMKREC,BNGDRMDAYS,
HRSNFREC,CIGPDAY,
HEOTSMK,COCNEEDL,
